username,followers_count,following_count,tweet_count,listed_count,topic_id,twitter_user_id,retrieved_date
rahulrrangari,1060,1425,482,0,7,1404795614953676807,4/1/2023
TheNishantBhat,43372,78,1252,6,16,1423333290224721921,4/1/2023
wordweed,2645,400,47990,8,12,46895632,4/1/2023
Kokilaparvathi,2501,363,779,15,12,483563636,4/1/2023
jolovanwham,5482,349,2487,45,5,2832429217,4/1/2023
RidhwanAzman,22545,814,41646,31,5,341629045,4/1/2023
mrbrown,415773,7494,65528,1238,10,574253,4/1/2023
angjunyang,4163,265,3751,57,12,58861733,4/1/2023
patrinechoo,2190,422,1265,7,12,1462075812039987209,4/1/2023
Superprincessjo,2014,149,16639,50,14,161254396,4/1/2023
realsehajpal,120869,28,3281,32,14,1083344415656214528,4/1/2023
iamkamyapunjabi,361826,140,7950,111,14,2286516338,4/1/2023
PrernaSehajpal,37528,10,5758,5,10,1427994869260193795,4/1/2023
DesmondDoss555,15743,103,1326,209,14,1400453100217913351,4/1/2023
GAUAHAR_KHAN,3047150,223,17908,533,15,155561448,4/1/2023
ShamitaShetty,142424,62,6289,107,10,3251305220,4/1/2023
aneri_vajani,32514,402,6079,42,5,132445843,4/1/2023
Devoleena_23,98785,188,10812,65,5,96135256,4/1/2023
teemusphoto,38653,278,3596,450,8,838056188277370880,4/1/2023
realcheraims,75119,368,6637,29,14,1331447852657123329,4/1/2023
nyaoayn,105742,281,20467,1189,9,181066414,4/1/2023
shiifoncake,113138,263,7586,1272,5,1153914005532004352,4/1/2023
uyjpn,53591,839,35953,693,9,1301428310975500288,4/1/2023
cram_box,119785,785,43937,1315,9,172385031,4/1/2023
inchchua,4197,582,568,93,12,83816651,4/1/2023
deweysim,4752,1451,624,67,8,69835675,4/1/2023
iamfarahlola,12250,192,2815,16,8,1014237696565235713,4/1/2023
kixes,30295,1105,99301,436,5,27182288,4/1/2023
wwwwww1101,2231,78,8808,2,5,925658166024478720,4/1/2023
Mindpatsrvl,103293,75,849,89,15,1305070471663083521,4/1/2023
JCharoensiri,7852,344,3333,56,11,131502046,4/1/2023
JamesPanumas,6938,22,444,4,2,1241426284720181248,4/1/2023
yamyummy,101349,840,233513,43,2,100221994,4/1/2023
thecuriousdan2,13202,187,29773,11,11,1409042869378191365,4/1/2023
HappyBongbongus,2878,307,936,4,11,939812855783636995,4/1/2023
iLawclub,239532,315,21646,370,11,61760897,4/1/2023
NaomiNeo_,416459,600,40814,161,11,57034487,4/1/2023
speishi,162470,60,68643,70,13,91573146,4/1/2023
Jinnyboy,278726,763,26422,193,12,18917343,4/1/2023
dmingthing,10308,261,32093,36,13,87653986,4/1/2023
toshrock,293186,550,28779,132,13,67577830,4/1/2023
JoakimGomez,18782,1286,33958,25,13,325059717,4/1/2023
mingasaur,4554,419,27092,12,13,76295041,4/1/2023
DanialRon,11326,1032,75506,32,5,65365894,4/1/2023
fayhokulani,5855,265,8877,96,4,17357808,4/1/2023
WildpipM,593249,554,4290,951,11,1122732866,4/1/2023
djhollyj,3205,101,3212,18,7,54016272,4/1/2023
narellekheng,12571,479,1151,30,10,146437142,4/1/2023
sezairi,51025,689,21265,129,8,36800569,4/1/2023
Hisa0808,143022,852,36408,1382,9,851799747937550336,4/1/2023
heyitssharla,156455,196,52313,541,9,555702683,4/1/2023
Sun_Paisan,5891,519,7103,16,9,1153563669285916672,4/1/2023
PaprikaGirl_JP,10358,1424,38368,108,1,946669879385456640,4/1/2023
NicolDavid,304980,308,5631,330,1,58233846,4/1/2023
virenrasquinha,179793,909,6612,137,1,160244513,4/1/2023
SakshiMalik,538379,192,1016,210,1,728173090027520000,4/1/2023
ararewoman,3884,3117,19238,18,1,764628864140189696,4/1/2023
cottoncandyme7,1390,491,14760,1,12,367138498,4/1/2023
DrShawnPaul,3495,1750,3077,8,5,1444499792189542400,4/1/2023
HugeJackoNFT,5074,657,703,2,12,158790527,4/1/2023
_LoveMy_Beautyy,3001,1764,92084,5,12,1529672863,4/1/2023
ThaiTrainGuide,6110,17,3371,46,12,1519829986752208897,4/1/2023
AlfieJapanorama,10451,2637,107065,234,1,81983730,4/1/2023
mrjeffu,14366,2367,9262,223,5,15709520,4/1/2023
zicoofficial_,151455,117,2788,19,5,1385295014507384834,4/1/2023
kawaiihanachiya,23674,24360,39205,97,5,141734114,4/1/2023
noealz,46581,3347,19765,592,3,283244090,4/1/2023
JJ_Lin,1080851,123,9017,1331,3,25497636,4/1/2023
marklee4444,5455,419,1736,11,5,1513141364350889989,4/1/2023
veratheape,30521,1757,3360,108,3,1357202360292941826,4/1/2023
Jungkook_SNS,75284,156,25636,750,5,1226493993141145601,4/1/2023
nameweemusic,15902,933,3996,92,11,194521830,4/1/2023
nuishow,338940,823,72481,1173,1,14697365,4/1/2023
anaraffali,370461,773,22098,340,1,28177296,4/1/2023
terenceleejx,7504,1979,9930,305,9,44078181,4/1/2023
MangteC,1476928,45,1332,274,1,334430754,4/1/2023
AvaniLekhara,62539,129,558,37,10,836484306126139392,4/1/2023
mirabai_chanu,431934,421,2231,140,15,997046099088166912,4/1/2023
lakshya_sen,60473,64,607,48,13,932617429208915969,4/1/2023
TrulyNoah,164982,322,17594,66,5,519332561,4/1/2023
syasyapuff,665,673,17613,8,3,25503818,4/1/2023
Real_n3xt,9211,1057,22350,44,9,3087421864,4/1/2023
cheesie,23436,123,28198,262,15,8552342,4/1/2023
EmirichuYT,510319,955,11094,506,5,893714295564910592,4/1/2023
wolfychuuu,166952,173,3167,281,3,902059487065915396,4/1/2023
Merryweatherey,1133673,994,12872,2311,7,2463867379,4/1/2023
Norman_Maggot,272307,3767,41731,1238,7,63025162,4/1/2023
ProjektMelody,619325,1523,10574,1556,3,1148121315943075841,4/1/2023
CovfefeChan,365564,501,91589,653,7,1049054859520090113,4/1/2023
Veibae,549028,494,5474,1454,13,777264456871149568,4/1/2023
jaiyieee,1620372,192,69849,58,11,317755902,4/1/2023
surayaror,65633,2193,60583,294,13,2673974569,4/1/2023
melatinungsari,6346,5004,35802,32,9,738504995759263744,4/1/2023
ieralee,10117,1310,18126,24,14,4046817679,4/1/2023
ruffleseed,16899,663,48429,46,13,19145055,4/1/2023
dririshsea,11274,728,3777,88,10,565166250,4/1/2023
fadzlirozan,552,1379,3019,1,12,1497833120,4/1/2023
DavidInglesTV,67236,2167,9998,1359,14,496997835,4/1/2023
parrysingh,26766,1004,16641,197,15,15143770,4/1/2023
dhruvkapilaa,831,142,115,6,7,2341671930,4/1/2023
FishMonkeyCow_,12660,454,2390,140,5,967218195986751490,4/1/2023
afdlinshauki,584504,1761,16492,626,7,23463101,4/1/2023
weeranan,130276,2048,92124,248,7,234274515,4/1/2023
TaniaSachdev,63732,198,5433,629,14,1886392608,4/1/2023
donbelleluvver,4526,267,70227,7,12,1371464233469177860,4/1/2023
donstutoch4ever,2771,880,30966,1,12,1523597389801549825,4/1/2023
mainedcm,6727794,358,4560,1698,12,63701775,4/1/2023
maymayentrata07,2844551,163,2781,161,5,803199792369180673,4/1/2023
ZeinabHarake11,7405723,84,621,145,5,991958674909286400,4/1/2023
mikslmnc,3977013,1240,18353,149,10,1000229461856530432,4/1/2023
MissMarisRacal,3914606,552,14401,264,12,628808642,4/1/2023
princess_thea14,1335992,14,2175,36,12,1180262001253089280,4/1/2023
irene_sukandar,23790,407,3151,80,14,151561894,4/1/2023
adhibanchess,28816,513,1054,231,14,3086225424,4/1/2023
DJRayRay_Taiwan,5076,888,7851,40,16,340244679,4/1/2023
kathyjah,2581,2111,6368,55,9,125350320,4/1/2023
woiiw,101790,40812,2578,208,10,430192464,4/1/2023
mattvsjapan,13223,360,2278,78,15,4634333330,4/1/2023
ryotarosjapan,26832,33,214,47,10,1337610818649636864,4/1/2023
rurusama9,88810,325,3911,78,5,1020642030840569856,4/1/2023
ruruspiano,15380,52,433,47,5,992661699009306624,4/1/2023
SS_utr3N,19388,36,3161,107,8,1009401802603704320,4/1/2023
jennykyros68,12250,132,204,72,14,1407290260791316480,4/1/2023
timmtsai,18908,198,318,6,9,1455747005850869769,4/1/2023
imma__jp,10892,161,1406,69,5,1017271237762953216,4/1/2023
GracyBitget,203028,208,988,55,9,723224444752158720,4/1/2023
akidearest,547847,473,1602,611,8,2281401692,4/1/2023
TheAn1meMan,942782,400,4935,1052,8,1651594488,4/1/2023
gourmetmei,133053,336,779,125,5,1413497060058288135,4/1/2023
GiggukAZ,851439,611,6362,920,8,228456219,4/1/2023
johnwinyu,2015254,1556,124825,1016,1,58219570,4/1/2023
Vhmq_,5987,379,326,26,5,1492794667473141761,4/1/2023
alinaamir,2836,1947,6910,16,15,29065360,4/1/2023
minavesguerra,6202,1392,169904,150,11,127871205,4/1/2023
realmanubhaker,144471,875,1864,75,2,976771469765160960,4/1/2023
manikabatra_TT,163903,435,2386,107,2,988671212216897537,4/1/2023
babamba2020,64280,2182,51409,366,11,261727021,4/1/2023
bestrongnow,48285,1889,87315,222,11,132591895,4/1/2023
imagolog,111016,196,6774,549,11,71793919,4/1/2023
wafflerica,3468,1714,3425,70,11,17061303,4/1/2023
andreas_lo,3878,2480,3075,118,13,4688401,4/1/2023
plspreeti,20205,298,21688,55,12,43293373,4/1/2023
PreetiJha,4112,3992,1976,132,13,28430142,4/1/2023
lukeanthonyhunt,19168,2714,3614,256,13,248001658,4/1/2023
sstrangio,14361,1578,16015,307,13,55191191,4/1/2023
prakchanthul,18391,3916,5825,245,13,228948446,4/1/2023
Shika42516408,181366,84,587,924,5,1109000851358519296,4/1/2023
veracruz777,13381,4711,250566,138,4,100899292,4/1/2023
SamuelBickett,21720,394,1883,73,11,1548159062,4/1/2023
AbroadInJapan,430957,212,9218,669,7,1659679688,4/1/2023
CDawgVA,889949,935,21533,892,10,43596071,4/1/2023
joandthezhus,4287,1698,515,71,9,1126890737809772544,4/1/2023
Irenezhao_,192745,319,2265,821,5,1366964220768776192,4/1/2023
_annabellehuang,3926,678,423,68,14,110318853,4/1/2023
Eaaaw,105237,1138,93680,93,15,2286750120,4/1/2023
ceemeagain,372893,1814,14110,1332,1,16851578,4/1/2023
suthichai,3101514,2833,114134,5349,1,12425692,4/1/2023
Woodytalk,3336846,1152,20827,3519,1,21539210,4/1/2023
panraphee,1325189,183,35866,1447,1,56156439,4/1/2023
ninanaka,717436,708,81951,1122,1,50845248,4/1/2023
dew_jsu,923115,34,453,412,12,906310748564971520,4/1/2023
PuimekSter,740578,419,92388,263,5,182279606,4/1/2023
MookWorranit,1461822,425,60353,296,12,139379061,4/1/2023
FiatAngelo,1496989,152,20471,619,12,2983484922,4/1/2023
ssingss,1112195,201,14668,671,12,2324101986,4/1/2023
tontawan_t,419204,252,57807,270,1,307782840,4/1/2023
